date,knowledge_date,cpi_headline_ye
1982-03-31T00:00:00Z,26/04/1982,10.79
1982-06-30T00:00:00Z,26/07/1982,10.92
1982-09-30T00:00:00Z,26/10/1982,12.41
1982-12-31T00:00:00Z,26/01/1983,11.26
1983-03-31T00:00:00Z,26/04/1983,11.36
1983-06-30T00:00:00Z,26/07/1983,11.11
1983-09-30T00:00:00Z,26/10/1983,9.2
1983-12-31T00:00:00Z,26/01/1984,8.63
1984-03-31T00:00:00Z,26/04/1984,5.83
1984-06-30T00:00:00Z,26/07/1984,4
1984-09-30T00:00:00Z,26/10/1984,3.65
1984-12-31T00:00:00Z,26/01/1985,2.47
1985-03-31T00:00:00Z,26/04/1985,4.41
1985-06-30T00:00:00Z,26/07/1985,6.59
1985-09-30T00:00:00Z,26/10/1985,7.59
1985-12-31T00:00:00Z,26/01/1986,8.29
1986-03-31T00:00:00Z,26/04/1986,9.23
1986-06-30T00:00:00Z,26/07/1986,8.51
1986-09-30T00:00:00Z,26/10/1986,8.82
1986-12-31T00:00:00Z,26/01/1987,9.63
1987-03-31T00:00:00Z,26/04/1987,9.42
1987-06-30T00:00:00Z,26/07/1987,9.26
1987-09-30T00:00:00Z,26/10/1987,8.33
1987-12-31T00:00:00Z,26/01/1988,7.21
1988-03-31T00:00:00Z,26/04/1988,6.84
1988-06-30T00:00:00Z,26/07/1988,7.17
1988-09-30T00:00:00Z,26/10/1988,7.26
1988-12-31T00:00:00Z,26/01/1989,7.56
1989-03-31T00:00:00Z,26/04/1989,6.82
1989-06-30T00:00:00Z,26/07/1989,7.51
1989-09-30T00:00:00Z,26/10/1989,7.97
1989-12-31T00:00:00Z,26/01/1990,7.81
1990-03-31T00:00:00Z,26/04/1990,8.7
1990-06-30T00:00:00Z,26/07/1990,7.74
1990-09-30T00:00:00Z,26/10/1990,6.09
1990-12-31T00:00:00Z,26/01/1991,6.88
1991-03-31T00:00:00Z,26/04/1991,4.8
1991-06-30T00:00:00Z,26/07/1991,3.33
1991-09-30T00:00:00Z,26/10/1991,3.13
1991-12-31T00:00:00Z,26/01/1992,1.53
1992-03-31T00:00:00Z,26/04/1992,1.7
1992-06-30T00:00:00Z,26/07/1992,1.19
1992-09-30T00:00:00Z,26/10/1992,0.84
1992-12-31T00:00:00Z,26/01/1993,0.33
1993-03-31T00:00:00Z,26/04/1993,1.17
1993-06-30T00:00:00Z,26/07/1993,1.84
1993-09-30T00:00:00Z,26/10/1993,2.17
1993-12-31T00:00:00Z,26/01/1994,1.83
1994-03-31T00:00:00Z,26/04/1994,1.49
1994-06-30T00:00:00Z,26/07/1994,1.81
